company,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Apple,13931,19315,24578,37491,42905,65225,108249,156508,170910,182795,233715,215639,229234,265595
Microsoft,39788,44282,51122,60420,58437,62484,69943,73723,77849,86833,93580,91154,96571,110360
