isActive,isRookie,namePlayer,idPlayer,countSeasons,yearSeasonFirst,yearSeasonLast,idTeam,hasGamesPlayedFlag,urlPlayerStats,urlPlayerThumbnail,urlPlayerHeadshot,urlPlayerActionPhoto,hasHeadShot,hasThumbnail,hasAction,urlPlayerPhoto
FALSE,FALSE,Ed Rains,77904,1,1981,1982,NA,FALSE,https://stats.nba.com/player/77904,https://stats.nba.com/media/players/230x185/77904.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77904.png,https://stats.nba.com/media/players/700/77904.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/77904.png
FALSE,FALSE,Igor Rakocevic,2080,0,2002,2002,NA,FALSE,https://stats.nba.com/player/2080,https://stats.nba.com/media/players/230x185/2080.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2080.png,https://stats.nba.com/media/players/700/2080.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/2080.png
FALSE,FALSE,Kurt Rambis,77905,13,1981,1994,NA,FALSE,https://stats.nba.com/player/77905,https://stats.nba.com/media/players/230x185/77905.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77905.png,https://stats.nba.com/media/players/700/77905.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/77905.png
FALSE,FALSE,Peter John Ramos,2762,0,2004,2004,NA,FALSE,https://stats.nba.com/player/2762,https://stats.nba.com/media/players/230x185/2762.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2762.png,https://stats.nba.com/media/players/700/2762.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/2762.png
FALSE,FALSE,Cal Ramsey,77906,1,1959,1960,NA,FALSE,https://stats.nba.com/player/77906,https://stats.nba.com/media/players/230x185/77906.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77906.png,https://stats.nba.com/media/players/700/77906.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/77906.png
FALSE,FALSE,Frank Ramsey,77907,9,1954,1963,NA,FALSE,https://stats.nba.com/player/77907,https://stats.nba.com/media/players/230x185/77907.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77907.png,https://stats.nba.com/media/players/700/77907.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/77907.png
FALSE,FALSE,Ray Ramsey,77908,0,1948,1948,NA,FALSE,https://stats.nba.com/player/77908,https://stats.nba.com/media/players/230x185/77908.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/77908.png,https://stats.nba.com/media/players/700/77908.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/77908.png
FALSE,FALSE,Mark Randall,1821,3,1991,1994,NA,FALSE,https://stats.nba.com/player/1821,https://stats.nba.com/media/players/230x185/1821.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1821.png,https://stats.nba.com/media/players/700/1821.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/1821.png
FALSE,FALSE,Chasson Randle,1626184,2,2016,2018,NA,FALSE,https://stats.nba.com/player/1626184,https://stats.nba.com/media/players/230x185/1626184.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626184.png,https://stats.nba.com/media/players/700/1626184.png,TRUE,TRUE,TRUE,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626184.png
TRUE,FALSE,Julius Randle,203944,5,2014,2019,1610612752,FALSE,https://stats.nba.com/player/203944,https://stats.nba.com/media/players/230x185/203944.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203944.png,https://stats.nba.com/media/players/700/203944.png,TRUE,TRUE,TRUE,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203944.png
FALSE,FALSE,Anthony Randolph,201576,5,2008,2013,NA,FALSE,https://stats.nba.com/player/201576,https://stats.nba.com/media/players/230x185/201576.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201576.png,https://stats.nba.com/media/players/700/201576.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/201576.png
FALSE,FALSE,Shavlik Randolph,101183,9,2005,2014,NA,FALSE,https://stats.nba.com/player/101183,https://stats.nba.com/media/players/230x185/101183.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101183.png,https://stats.nba.com/media/players/700/101183.png,FALSE,TRUE,TRUE,https://stats.nba.com/media/players/230x185/101183.png
FALSE,FALSE,Zach Randolph,2216,16,2001,2017,NA,FALSE,https://stats.nba.com/player/2216,https://stats.nba.com/media/players/230x185/2216.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2216.png,https://stats.nba.com/media/players/700/2216.png,TRUE,TRUE,TRUE,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2216.png
