location,type,overall
Papa Chito's Mexican Food,California,2.2
Papa Chito's Mexican Food,California,3.75
El Pueblo Mexican Food,California,4.3
Burros and Fries,California,3.5
Burros and Fries,Carne asada,4
King Burrito,Adobada,2.8
King Burrito,California,2.5
Taco Stand,California,4
Taco Stand,California,4
Carmen's Mexican Food,Adobada,3.6
Carmen's Mexican Food,Carne asada,4
Senor Panchos,Pollo asado,2.9
Senor Panchos,California,4
Los Cabos,California,3
Los Cabos,Al pastor,4
Rubios UCSD,Tilapia one,3.2
Lucha Libre North Park,Surf & Turf,3
Lucha Libre North Park,Surf & Turf,2
Lucha Libre North Park,Surf & Turf,2.4
Lucha Libre North Park,Surf & Turf,2.2
Lucha Libre North Park,Surf & Turf,3.6
Lucha Libre North Park,Surfin California,3.9
Lucha Libre North Park,Surfin California,3.5
Lucha Libre North Park,Surfin California,3
Lucha Libre North Park,Surfin California,3.5
Lucha Libre North Park,Surfin California,3.5
Lucha Libre North Park,Surfin California,4
Lucha Libre North Park,Surfin California,3
Lucha Libre North Park,Nutty,4.4
Lucha Libre North Park,Veg Out,4.5
Lucha Libre North Park,Veggie,3.25
Lucha Libre North Park,Bean and cheese,2
Lucha Libre North Park,California - Steak,3.9
Lucha Libre North Park,California - Steak,3.5
Lucha Libre North Park,California - Pork Adobada,3
Lucha Libre North Park,California - Pork Adobada,4.25
Lucha Libre North Park,California - Pork Adobada,4.5
Lucha Libre North Park,California - Chicken,2.5
Lucha Libre North Park,California - Chicken,3
Lucha Libre North Park,Holy Moly,3.5
Lucha Libre North Park,Holy Moly,1.5
Lucha Libre North Park,Holy Moly,4
Lucha Libre North Park,Holy Moly,2
Lucha Libre North Park,Holy Moly,4
Tacos La Bala,Pastor,2.5
Tacos La Bala,Barbacoa,2.4
Cancun Mexican & Seafood,Adobada,3.5
Cancun Mexican & Seafood,California,4
Roberto's Taco Shop Clairemont,California,3.6
Roberto's Taco Shop Clairemont,California,3
Roberto's Taco Shop Clairemont,California + Guac + sour cream,4
Roberto's Taco Shop Clairemont,Carne asada,3
Chipotle,Carnitas,2.75
Taco Stand,Al Pastor,4.5
Taco Stand,California,4.7
Los Tacos,California,4.2
Los Tacos,Local,4.3
El Cuervo,California,3.6
El Cuervo,Pollo adobado,4
El Torrito Foods,Asada,3.1
El Torrito Foods,Adobada,2.6
La Morena Taco Shop and Seafood,California,3
Taco Villa,Carnitas,4
Rigoberto's Taco Shop,Campeon,2.7
Rigoberto's Taco Shop,California,4.25
Rigoberto's Taco Shop,Bacon breakfast,4.2
Rigoberto's Taco Shop,Carnitas,4
Taco Villa,Al pastor,3.2
Valentines Mexican Food,California,4.2
Valentines Mexican Food,California Chipotle,4
Matador Mexican Food,Carnitas,3
Matador Mexican Food,Carne asada,3
Jose's Taco,California,3.3
Cortez Mexican Food,California,3.2
California Burrito Company,Dave's California,3.3
California Burrito Company,California,3.5
California Burrito Company,California,3.5
Taco Villa,Chicken and rice,4.2
Taco Villa,California,3.5
Storehouse Kitchen,Breakfast,4.6
California Burrito Company,Fajitas,2.2
California Burrito Company,California,3.5
Taco Villa,Breakfast,3
California Burritos,California Everything,4
California Burritos,Surf & Turf,5
Taco Villa,Carnitas,3.9
Taco Villa,Tejano,4
Taco Villa,Al pastor,4
Taco Villa,Shrimp with guac,3
Taco Villa,Bean & cheese,2
Taco Stand Encinitas,California,4.2
Taco Stand Encinitas,California,4.2
Donato's Taco Shop,Al pastor,3
Donato's Taco Shop,Carne asada,4
Ortiz's Taco Shop #2,California,4.25
Ortiz's Taco Shop #2,California chicken,2.66
Ortiz's Taco Shop #2,California,4.2
Ortiz's Taco Shop #2,California,3.5
El Portal Fresh Mexican Grill,Mahi,3.1
El Portal Fresh Mexican Grill,Carnitas,3.75
El Zarape,California,3.9
El Zarape,California,4
El Zarape,California,3
El Zarape,Carne asada supreme,4
Famoso Mexican Street Food,Cali Diablo,3.1
Valentines Mexican Food,Carne asada,4.2
Valentines Mexican Food,Pork california,5
Valentines Mexican Food,California,4.5
Valentines Mexican Food,California,4
Valentines Mexican Food,California,4.7
Cancun Mexican & Seafood,California,4.5
Cancun Mexican & Seafood,California,4.5
Los Panchos Taco Shop,California,3.7
Los Panchos Taco Shop,Bitchin California,4.4
Los Panchos Taco Shop,Tijuana,3.7
Pollos Maria,Combo chicken,3.8
Pollos Maria,Carne asada,3.5
El Pollo Loco,Chicken avocado,3.2
Gloria's Taco Shop,California,2.7
Gloria's Taco Shop,Cabeza,2
Mr. Ruribertos Taco Shop,California,2.9
Mr. Ruribertos Taco Shop,Carne asada,3
Mister Falafel,Chicken Shawarma,3.5
Rigoberto's Taco Shop,California,3.7
Rigoberto's Taco Shop,Chile Relleno,3.9
Los Tacos,Fusion,3.9
Los Tacos,Local,3.8
